Accession	Main product	Biosynthetic class	Organism
BGC0000917	molybdenum cofactor	Other	Rhodobacter capsulatus
BGC0000567	trifolitoxin	LAP	Rhizobium leguminosarum
BGC0000762	exopolysaccharide	Saccharide	Rhizobium leguminosarum bv. viciae
BGC0000457	vicibactin	NRP	Rhizobium etli CFN 42
BGC0000436	syringolin A	NRP	Rhizobium sp. AP16
BGC0000732	capsular polysaccharide	Saccharide	Raoultella planticola
BGC0001685	N-acyloxyacyl lysine	Other	Raoultella ornithinolytica 10-5246
BGC0001014	micacocidin	NRP siderophore	Ralstonia solanacearum GMI1000
BGC0001014	micacocidin	Modular type I polyketide	Ralstonia solanacearum GMI1000
BGC0001014	micacocidin	Iterative type I polyketide	Ralstonia solanacearum GMI1000
BGC0001363	ralsolamycin	NRP	Ralstonia solanacearum GMI1000
BGC0001363	ralsolamycin	Polyketide	Ralstonia solanacearum GMI1000
BGC0001754	ralsolamycin	NRP	Ralstonia solanacearum GMI1000
BGC0001754	ralsolamycin	Polyketide	Ralstonia solanacearum GMI1000
BGC0000072	gulmirecin A	Modular type I polyketide	Pyxidicoccus fallax
BGC0001940	pyxidicycline A, pyxidicycline B	Polyketide	Pyxidicoccus fallax
BGC0001751	pyxipyrrolone A, pyxipyrrolone B	NRP	Pyxidicoccus sp. MCy9557
BGC0001751	pyxipyrrolone A, pyxipyrrolone B	Polyketide	Pyxidicoccus sp. MCy9557
BGC0001749	epipyriculol	Polyketide	Pyricularia oryzae 70-15
BGC0001881	pyrichalasin H	Iterative type I polyketide	Pyricularia grisea
BGC0001881	pyrichalasin H	NRP	Pyricularia grisea
BGC0001982	pyrichalasin H	NRP	Pyricularia grisea
BGC0001982	pyrichalasin H	Polyketide	Pyricularia grisea
BGC0001738	phomasetin	NRP	Pyrenochaetopsis sp.
BGC0001738	phomasetin	Polyketide	Pyrenochaetopsis sp.
BGC0001358	leucinostatin A, leucinostatin B	Polyketide	Purpureocillium lilacinum
BGC0000116	nystatin-like Pseudonocardia polyene	Polyketide	Pseudonocardia autotrophica
BGC0001773	selvamicin	Polyketide	Pseudonocardia sp. HH130630-07
BGC0001806	tolaasin A	NRP	Pseudomonas tolaasii
BGC0000041	oronofacic acid	Polyketide	Pseudomonas syringae
BGC0000846	tabtoxin	Other	Pseudomonas syringae
BGC0000919	phaseolotoxin	Other	Pseudomonas syringae
BGC0001047	syringolin A	NRP	Pseudomonas syringae
BGC0001047	syringolin A	Polyketide	Pseudomonas syringae
BGC0001859	fosfomycin	Phosphonate	Pseudomonas syringae
BGC0001486	3-thiaglutamate	RiPP	Pseudomonas syringae pv. maculicola str. ES4326
BGC0002027	TglA-thiaGlu	RiPP	Pseudomonas syringae pv. maculicola str. ES4326
BGC0000387	mangotoxin	NRP	Pseudomonas syringae pv. syringae
BGC0000438	syringopeptin 25A	NRP	Pseudomonas syringae pv. syringae
BGC0000884	3-methylarginine	Other	Pseudomonas syringae pv. syringae
BGC0000437	syringomycin	NRP	Pseudomonas syringae pv. syringae B728a
BGC0000435	syringafactin	NRP	Pseudomonas syringae pv. tomato str. DC3000
BGC0001586	EPS273	Saccharide	Pseudomonas stutzeri
BGC0000328	coronatine	NRP	Pseudomonas savastanoi pv. glycinea
BGC0000411	putisolvin	NRP	Pseudomonas putida
BGC0000463	xantholysin A, xantholysin B, xantholysin C	Lipopeptide	Pseudomonas putida
BGC0000921	promysalin	Polyketide	Pseudomonas putida
BGC0000921	promysalin	NRP	Pseudomonas putida
BGC0000921	promysalin	Shikimate-derived	Pseudomonas putida
BGC0001285	pseudopyronine A, pseudopyronine B	Fatty acid	Pseudomonas putida
BGC0001838	WLIP	NRP	Pseudomonas putida
BGC0000127	pyoluteorin	Polyketide	Pseudomonas protegens Pf-5
BGC0000399	orfamide A, orfamide C	Cyclic depsipeptide	Pseudomonas protegens Pf-5
BGC0000413	pyoverdin	NRP	Pseudomonas protegens Pf-5
BGC0001987	koreenceine A, koreenceine B, koreenceine C, koreenceine D	Polyketide	Pseudomonas koreensis
BGC0000182	pseudomonic acid A	Iterative type I polyketide	Pseudomonas fluorescens
BGC0000182	pseudomonic acid A	Trans-AT type I polyketide	Pseudomonas fluorescens
BGC0000280	2,4-diacetylphloroglucinol	Polyketide	Pseudomonas fluorescens
BGC0000281	2,4-diacetylphloroglucinol	Polyketide	Pseudomonas fluorescens
BGC0000410	pseudomonine	NRP	Pseudomonas fluorescens
BGC0000421	safracin A, safracin B	NRP	Pseudomonas fluorescens
BGC0000925	quinolobactin	Other	Pseudomonas fluorescens
BGC0001099	kalimantacin A	NRP	Pseudomonas fluorescens
BGC0001099	kalimantacin A	Modular type I polyketide	Pseudomonas fluorescens
BGC0001099	kalimantacin A	Trans-AT type I polyketide	Pseudomonas fluorescens
BGC0001346	bananamide 1, bananamide 2, bananamide 3	Cyclic depsipeptide	Pseudomonas fluorescens
BGC0001437	obafluorin	NRP	Pseudomonas fluorescens
BGC0001509	anikasin	NRP	Pseudomonas fluorescens
BGC0001710	obafluorin	NRP	Pseudomonas fluorescens
BGC0001842	gacamide A	Lipopeptide	Pseudomonas fluorescens Pf0-1
BGC0001312	viscosin	NRP	Pseudomonas fluorescens SBW25
BGC0000389	massetolide A	Cyclic depsipeptide	Pseudomonas fluorescens SS101
BGC0001488	4-formylaminooxyvinylglycine	Other	Pseudomonas fluorescens WH6
BGC0000344	entolysin	NRP	Pseudomonas entomophila L48
BGC0000447	tolaasin I, tolaasin F	Lipopeptide	Pseudomonas costantinii
BGC0000329	corpeptin A, corpeptin B	NRP	Pseudomonas corrugata
BGC0000323	cichofactin A, cichofactin B	Lipopeptide	Pseudomonas cichorii
BGC0001389	cichopeptin	NRP	Pseudomonas cichorii
BGC0000924	pyrrolnitrin	Other	Pseudomonas chlororaphis
BGC0000781	O-antigen	Saccharide	Pseudomonas aeruginosa
BGC0000784	O-antigen	Saccharide	Pseudomonas aeruginosa
BGC0001682	N-acyl lysine/ornithine	Other	Pseudomonas aeruginosa LESB58
BGC0000287	L-2-amino-4-methoxy-trans-3-butenoic acid	NRP	Pseudomonas aeruginosa PAO1
BGC0000412	pyochelin	NRP	Pseudomonas aeruginosa PAO1
BGC0000725	alginate	Saccharide	Pseudomonas aeruginosa PAO1
BGC0000922	pseudomonas quinolone signal (PQS)	Other	Pseudomonas aeruginosa PAO1
BGC0000923	paerucumarin	Other	Pseudomonas aeruginosa PAO1
BGC0000936	pyocyanine	Other	Pseudomonas aeruginosa PAO1
BGC0001871	L-2-amino-4-methoxy-trans-3-butenoic acid	NRP	Pseudomonas aeruginosa PAO1
BGC0001790	sulfazecin	NRP	Pseudomonas acidophila
BGC0000443	thanamycin	Beta-lactam	Pseudomonas sp. SHC52
BGC0001149	brabantamide A	Lipopeptide	Pseudomonas sp. SHC52
BGC0001149	brabantamide A	Hybrid/tailoring saccharide	Pseudomonas sp. SHC52
BGC0001045	spiruchostatin A	Cyclic depsipeptide	Pseudomonas sp. Q71576
BGC0001045	spiruchostatin A	Modular type I polyketide	Pseudomonas sp. Q71576
BGC0000305	arthrofactin A	Lipopeptide	Pseudomonas sp. MIS38
BGC0000128	pyoluteorin	Polyketide	Pseudomonas sp. M18
BGC0000343	enterobactin	NRP	Pseudomonas sp. J465
BGC0001416	nunapeptin, nunamycin	NRP	Pseudomonas sp. In5
BGC0000398	orfamide B	Cyclic depsipeptide	Pseudomonas sp. CMR12a
BGC0000425	sessilin A	Cyclic depsipeptide	Pseudomonas sp. CMR12a
BGC0000995	FR901464	NRP	Pseudomonas sp. 2663
BGC0000995	FR901464	Polyketide	Pseudomonas sp. 2663
BGC0001096	FR901464	NRP	Pseudomonas sp. 2663
BGC0001096	FR901464	Polyketide	Pseudomonas sp. 2663
BGC0001980	lokisin	NRP	Pseudomonas sp.
BGC0001463	2,3,4,5-tetrabromopyrrole	Other	Pseudoalteromonas piscicida
BGC0000299	alterochromide A, bromoalterochromide A, dibromoalterochromide A, alterochromide B, bromoalterochromide B, dibromoalterochromide B, alterochromide A', bromoalterochromide A', dibromoalterochromide A', alterochromide B', bromoalterochromide B', dibromoalterochromide B', alterochromide A'', bromoalterochromide A'', alterochromide B'', bromoalterochromide B''	NRP	Pseudoalteromonas piscicida JCM 20779
BGC0000314	bromoalterochromide A	Polyketide	Pseudoalteromonas piscicida JCM 20779
BGC0000314	bromoalterochromide A	Cyclic depsipeptide	Pseudoalteromonas piscicida JCM 20779
BGC0000314	bromoalterochromide A	Aminocoumarin	Pseudoalteromonas piscicida JCM 20779
BGC0000890	pentabromopseudilin	Aminocoumarin	Pseudoalteromonas phenolica O-BC30
BGC0000891	pentabromopseudilin	Aminocoumarin	Pseudoalteromonas luteoviolacea 2ta16
BGC0001115	thiomarinol	NRP	Pseudoalteromonas sp. SANK 73390
BGC0001115	thiomarinol	Polyketide	Pseudoalteromonas sp. SANK 73390
BGC0001464	tetrabromopyrrole	Other	Pseudoalteromonas sp. PS5
BGC0000863	eicosapentaenoic acid	Other	Pseudoalteromonas sp. DS-12
BGC0001949	domoic acid	Other	Pseudo-nitzschia multiseries
BGC0000657	2-methylisoborneol	Terpene	Pseudanabaena sp. dqh15
BGC0000475	patellamide A, patellamide C	Cyanobactin	Prochloron didemni
BGC0001576	divamide A	RiPP	Prochloron didemni
BGC0001577	divamide B	RiPP	Prochloron didemni
BGC0001810	trehangelin	Polyketide	Polymorphospora rubra
BGC0001235	antalid	NRP	Polyangium spumosum
BGC0001235	antalid	Polyketide	Polyangium spumosum
BGC0000134	radicicol	Polyketide	Pochonia chlamydosporia
BGC0001733	PcpA	RiPP	Pleurocapsa sp. PCC 7327
BGC0001745	PlpA1, PlpA2, PlpA3	RiPP	Pleurocapsa sp. PCC 7319
BGC0000504	cytolysin ClyLl, cytolysin ClyLs	Lanthipeptide	Plasmid pAD1
BGC0001781	sphaericin	RiPP	Planomonospora sphaerica
BGC0000544	planosporicin	Lanthipeptide	Planomonospora alba
BGC0001155	GE2270	Thiopeptide	Planobispora rosea
BGC0001614	hassallidin E	NRP	Planktothrix serta PCC 8927
BGC0001656	luminaolide	Polyketide	Planktothrix paucivesiculata PCC 9631
BGC0000479	prenylagaramide B, prenylagaramide C	Lanthipeptide	Planktothrix agardhii NIES-596
BGC0000331	cyanopeptin	NRP	Planktothrix agardhii NIVA-CYA 116
BGC0000297	aeruginoside 126B, aeruginoside 126A	Glycopeptide	Planktothrix agardhii NIVA-CYA 126
BGC0000297	aeruginoside 126B, aeruginoside 126A	Other polyketide	Planktothrix agardhii NIVA-CYA 126
BGC0000297	aeruginoside 126B, aeruginoside 126A	Hybrid/tailoring saccharide	Planktothrix agardhii NIVA-CYA 126
BGC0000301	anabaenopeptin 908, anabaenopeptin 915	NRP	Planktothrix agardhii NIVA-CYA 126/8
BGC0000594	microviridin K	RiPP	Planktothrix agardhii NIVA-CYA 126/8
BGC0001015	microcystin	NRP	Planktothrix agardhii NIVA-CYA 126/8
BGC0001015	microcystin	Polyketide	Planktothrix agardhii NIVA-CYA 126/8
BGC0001741	phyllostictine A, phyllostictine B	NRP	Phyllosticta cirsii
BGC0001741	phyllostictine A, phyllostictine B	Polyketide	Phyllosticta cirsii
BGC0000196	AQ-256, AQ-270a, AQ-284a	Type II polyketide	Photorhabdus laumondii subsp. laumondii TTO1
BGC0000383	luminmycin A	NRP	Photorhabdus laumondii subsp. laumondii TTO1
BGC0000383	luminmycin A	Modular type I polyketide	Photorhabdus laumondii subsp. laumondii TTO1
BGC0001128	luminmide	NRP	Photorhabdus laumondii subsp. laumondii TTO1
BGC0001134	photopyrone A, photopyrone B, photopyrone C, photopyrone D, photopyrone E, photopyrone F, photopyrone G, photopyrone H	Other	Photorhabdus laumondii subsp. laumondii TTO1
BGC0001641	kolossin	NRP	Photorhabdus laumondii subsp. laumondii TTO1
BGC0001736	pepteridine A, pepteridine B	NRP	Photorhabdus laumondii subsp. laumondii TTO1
BGC0002020	photolose	NRP	Photorhabdus laumondii subsp. laumondii TTO1
BGC0002020	photolose	Saccharide	Photorhabdus laumondii subsp. laumondii TTO1
BGC0000865	eicoseicosapentaenoic acid	Other	Photobacterium profundum SS9
BGC0000676	aphidicolin, aphidicolan-16β-ol, 3-deoxyaphidicolin, 17-deoxyaphidicolin	Terpene	Phoma betae
BGC0001264	betaenone A, betaenone B, betaenone C	Polyketide	Phoma betae
BGC0001280	betaenone C, betaenone A	Polyketide	Phoma betae
BGC0001528	betaestacin	Terpene	Phoma betae
BGC0001915	betaestacin I, betaestacin II	Terpene	Phoma betae
BGC0001339	squalestatin S1	Iterative type I polyketide	Phoma sp. MF5453
BGC0001966	BII-rafflesfungin	NRP	Phoma sp.
BGC0001976	eupenifeldin	Terpene	Phoma sp.
BGC0001977	eupenifeldin	Other	Phoma sp.
BGC0000932	tropodithietic acid	Other	Phaeobacter inhibens DSM 17395
BGC0001362	tropodithietic acid	Other	Phaeobacter inhibens DSM 17395
BGC0000121	RES-1214-2	Polyketide	Pestalotiopsis fici
BGC0001624	iso-A82775C	Other	Pestalotiopsis fici
BGC0001372	penigequinolone A	Terpene	Penicillium thymicola
BGC0001375	penitrem A, penitrem B, penitrem C, penitrem D, penitrem E, penitrem F	Terpene	Penicillium simplicissimum
BGC0001717	okaramine B	Alkaloid	Penicillium simplicissimum
BGC0000357	cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)	Cyclic depsipeptide	Penicillium rubens Wisconsin 54-1255
BGC0000420	histidyltryptophanyldiketopiperazine, dehydrohistidyltryptophanyldiketopiperazine, roquefortine D, roquefortine C, glandicoline A, glandicoline B, meleagrine	NRP	Penicillium rubens Wisconsin 54-1255
BGC0001404	sorbicillin	Polyketide	Penicillium rubens Wisconsin 54-1255
BGC0001882	chrysoxanthone A, chrysoxanthone B, chrysoxanthone C	Polyketide	Penicillium rubens Wisconsin 54-1255
BGC0001508	andrastin A	Polyketide	Penicillium roqueforti
BGC0001677	mycophenolic acid	Polyketide	Penicillium roqueforti
BGC0000667	PR-toxin	Terpene	Penicillium roqueforti FM164
BGC0001360	mycophenolic acid	Polyketide	Penicillium roqueforti FM164
BGC0001082	paxilline, paspaline, 13-dehydroxypaxilline, paspaline B	Terpene	Penicillium paxilli
BGC0001724	oxaleimide C	NRP	Penicillium oxalicum 114-2
BGC0001724	oxaleimide C	Polyketide	Penicillium oxalicum 114-2
BGC0001030	ochratoxin A	NRP	Penicillium nordicum
BGC0001030	ochratoxin A	Polyketide	Penicillium nordicum
BGC0001776	shearinine D	Terpene	Penicillium janthinellum
BGC0000819	paraherquamide	NRP	Penicillium fellutanum
BGC0000819	paraherquamide	Alkaloid	Penicillium fellutanum
BGC0000120	patulin	Iterative type I polyketide	Penicillium expansum
BGC0000968	chaetoglobosins	NRP	Penicillium expansum
BGC0000968	chaetoglobosins	Iterative type I polyketide	Penicillium expansum
BGC0001205	communesin A, communesin B, communesin C, communesin D, communesin E, communesin G, communesin H	Polyketide	Penicillium expansum
BGC0000039	compactin	Polyketide	Penicillium citrinum
BGC0000404	penicillin	NRP	Penicillium chrysogenum
BGC0000405	δ-(L-α-aminoadipyl)-L-cysteine-D-valine, isopenicillin N, benzylpenicillin, phenoxymethylpenicillin	Beta-lactam	Penicillium chrysogenum
BGC0000104	mycophenolic acid	Terpene	Penicillium brevicompactum
BGC0000104	mycophenolic acid	Iterative type I polyketide	Penicillium brevicompactum
BGC0001141	4-epi-15-epi-brefeldin A	Iterative type I polyketide	Penicillium brefeldianum
BGC0001729	paraherquonin	Polyketide	Penicillium brasilianum
BGC0001729	paraherquonin	Terpene	Penicillium brasilianum
BGC0000070	griseofulvin, epidechlorogriseofulvin, norlichexanthone, dehydrogriseofulvin, 4-desmethylgriseofulvin, griseoxanthone B	Iterative type I polyketide	Penicillium aethiopicum
BGC0000168	viridicatumtoxin, previridicatumtoxin, 5-hydroxyanthrotainin, 8-O-desmethylanthrotainin	Iterative type I polyketide	Penicillium aethiopicum
BGC0001142	tryptoquialanine	NRP	Penicillium aethiopicum
BGC0001847	1-carbapen-2-em-3-carboxylic acid	Other	Pectobacterium carotovorum
BGC0000734	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000735	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000737	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000738	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0000739	capsular polysaccharide	Saccharide	Pasteurella multocida
BGC0001244	(-)-Mellein	Polyketide	Parastagonospora nodorum
BGC0001284	alternariol	Terpene	Parastagonospora nodorum SN15
BGC0001858	alternapyrone B, alternapyrone C, alternapyrone D, alternapyrone E, alternapyrone F	Polyketide	Parastagonospora nodorum SN15
BGC0001865	elsinochrome C	Iterative type I polyketide	Parastagonospora nodorum SN15
BGC0000630	(2R,3S,3'S)-2-hydroxyastaxanthin	Terpene	Paracoccus haeundaensis
BGC0000635	carotenoid	Terpene	Paracoccus sp. N81106
BGC0001112	rhizoxin A	NRP	Paraburkholderia rhizoxinica
BGC0001112	rhizoxin A	Trans-AT type I polyketide	Paraburkholderia rhizoxinica
BGC0000571	burhizin	Lassopeptide	Paraburkholderia rhizoxinica HKI 454
BGC0001758	rhizomide A, rhizomide B, rhizomide C	NRP	Paraburkholderia rhizoxinica HKI 454
BGC0001844	holrhizin	Lipopeptide	Paraburkholderia rhizoxinica HKI 454
BGC0001999	gramibactin	NRP	Paraburkholderia graminis C4D1M
BGC0001325	noscapine	Alkaloid	Papaver somniferum
BGC0001799	thebaine	Alkaloid	Papaver somniferum
BGC0000763	stewartan	Saccharide	Pantoea stewartii subsp. stewartii DC283
BGC0000638	carotenoid	Terpene	Pantoea ananatis
BGC0001499	aerobactin	Other	Pantoea ananatis
BGC0000956	andrimid	Beta-lactam	Pantoea agglomerans
BGC0000956	andrimid	Type II polyketide	Pantoea agglomerans
BGC0001572	desferrioxamine E	Other	Pantoea agglomerans
BGC0000449	tridecaptin	NRP	Paenibacillus terrae
BGC0000542	paenicidin B	Lanthipeptide	Paenibacillus terrae
BGC0000408	polymyxin	NRP	Paenibacillus polymyxa
BGC0000541	paenicidin A	Lanthipeptide	Paenibacillus polymyxa
BGC0001152	fusaricidin B	Polyketide	Paenibacillus polymyxa
BGC0001152	fusaricidin B	Lipopeptide	Paenibacillus polymyxa
BGC0001153	polymyxin B	Lipopeptide	Paenibacillus polymyxa
BGC0001727	paenilan	RiPP	Paenibacillus polymyxa E681
BGC0001728	paenilipoheptin	NRP	Paenibacillus polymyxa E681
BGC0001728	paenilipoheptin	Polyketide	Paenibacillus polymyxa E681
BGC0001993	paenilipoheptin	NRP	Paenibacillus polymyxa E681
BGC0000540	paenibacillin	Lanthipeptide	Paenibacillus polymyxa OSY-DF
BGC0000426	sevadicin	NRP	Paenibacillus larvae
BGC0000402	paenilarvins	NRP	Paenibacillus larvae subsp. larvae DSM 25430
BGC0001033	paenilamicin	NRP	Paenibacillus larvae subsp. larvae DSM 25430
BGC0001033	paenilamicin	Polyketide	Paenibacillus larvae subsp. larvae DSM 25430
BGC0000403	pelgipeptin	NRP	Paenibacillus elgii
BGC0000401	paenibactin	NRP	Paenibacillus elgii B69
BGC0001289	penisin	RiPP	Paenibacillus ehimensis
BGC0001356	paeninodin	RiPP	Paenibacillus dendritiformis C454
BGC0000796	S-layer glycan	Saccharide	Paenibacillus alvei
BGC0001192	colistin A, colistin B	NRP	Paenibacillus alvei
BGC0000400	paenibacterin	NRP	Paenibacillus sp. OSY-SE
BGC0001843	tridecaptin M	NRP	Paenibacillus sp. M-152
BGC0001436	cornexistin	Iterative type I polyketide	Paecilomyces divaricatus
BGC0001557	cornexistin	Polyketide	Paecilomyces divaricatus
BGC0000471	viridisamide A	Cyanobactin	Oscillatoria nigro-viridis PCC 7112
BGC0000671	momilactone	Terpene	Oryza sativa Japonica Group
BGC0000672	phytocassane, oryzalides	Terpene	Oryza sativa Japonica Group
BGC0001970	malyngamide C acetate	NRP	Okeania hirsuta
BGC0001970	malyngamide C acetate	Polyketide	Okeania hirsuta
BGC0001971	malyngamide I	NRP	Okeania hirsuta
BGC0001971	malyngamide I	Polyketide	Okeania hirsuta
BGC0001713	ochrobactin	Other	Ochrobactrum anthropi
BGC0001786	subterisin	RiPP	Novosphingobium subterraneum
BGC0000480	tenuecyclamide A, tenuecyclamide C	Cyanobactin	Nostoc spongiaeforme var. tenue str. Carmeli
BGC0000661	geosmin	Terpene	Nostoc punctiforme PCC 73102
BGC0001479	anabaenopeptin NZ857, nostamide A	NRP	Nostoc punctiforme PCC 73102
BGC0001663	merocyclophane C, merocyclophane D	Polyketide	Nostoc sp. UIC 10110
BGC0001795	swinholide A	Polyketide	Nostoc sp. UHCC 0450
BGC0001028	nostopeptolide A2	Polyketide	Nostoc sp. GSV224
BGC0001028	nostopeptolide A2	Cyclic depsipeptide	Nostoc sp. GSV224
BGC0001705	nodularin	NRP	Nostoc sp. CENA543
BGC0001705	nodularin	Polyketide	Nostoc sp. CENA543
BGC0001748	pseudospumigin A, pseudospumigin B, pseudospumigin C, pseudospumigin D, pseudospumigin E, pseudospumigin F	NRP	Nostoc sp. CENA543
BGC0001748	pseudospumigin A, pseudospumigin B, pseudospumigin C, pseudospumigin D, pseudospumigin E, pseudospumigin F	Polyketide	Nostoc sp. CENA543
BGC0001703	nocuolin A	Other	Nostoc sp. CCAP 1453/38
BGC0001357	carbamidocyclophane A, carbamidocyclophane B, carbamidocyclophane C, carbamidocyclophane D, carbamidocyclophane E, carbamidocyclophane F, carbamidocyclophane H, carbamidocyclophane M, carbamidocyclophane N, carbamidocyclophane O, carbamidocyclophane P, carbamidocyclophane Q, carbamidocyclophane R, carbamidocyclophane S, carbamidocyclophane T, carbamidocyclophane U	Polyketide	Nostoc sp. CAVN2
BGC0000397	nostocyclopeptide A2	NRP	Nostoc sp. ATCC 53789
BGC0000975	cryptophycin-327	NRP	Nostoc sp. ATCC 53789
BGC0000975	cryptophycin-327	Polyketide	Nostoc sp. ATCC 53789
BGC0000396	nodularin	NRP	Nostoc sp. 73.1
BGC0001029	nostophycin	NRP	Nostoc sp. 152
BGC0001029	nostophycin	Polyketide	Nostoc sp. 152
BGC0000869	heterocyst glycolipids	Other	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0001071	nosperin	NRP	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0001071	nosperin	Modular type I polyketide	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0001071	nosperin	Trans-AT type I polyketide	Nostoc sp. 'Peltigera membranacea cyanobiont'
BGC0001038	pyralomicin 1a	NRP	Nonomuraea spiralis
BGC0001038	pyralomicin 1a	Modular type I polyketide	Nonomuraea spiralis
BGC0000813	K-252a	Alkaloid	Nonomuraea longicatena
BGC0000814	K-252a	Alkaloid	Nonomuraea longicatena
BGC0000289	A40926	Glycopeptide	Nonomuraea gerenzanensis
BGC0000289	A40926	Hybrid/tailoring saccharide	Nonomuraea gerenzanensis
BGC0000604	GE2270A	Thiopeptide	Nonomuraea sp. WU8817
BGC0001582	ecumicin	NRP	Nonomuraea sp. MJM5123
BGC0000613	thiomuracin A	Thiopeptide	Nonomuraea sp. Bp3714-39
BGC0001635	kistamicin A	NRP	Nonomuraea sp. ATCC 55076
BGC0001635	kistamicin A	Polyketide	Nonomuraea sp. ATCC 55076
BGC0001257	1,3,6,8-tetrahydroxynaphthalene	Polyketide	Nodulisporium sp. ATCC74245
BGC0001571	demethoxyviridin	Terpene	Nodulisporium sp.
BGC0000430	spumigin E	NRP	Nodularia spumigena CCY9414
BGC0000430	spumigin E	Modular type I polyketide	Nodularia spumigena CCY9414
BGC0001704	nocuolin A	Other	Nodularia sp. HBU26
BGC0001655	LP2006	RiPP	Nocardiopsis alba DSM 43377
BGC0000615	TP-1161	Thiopeptide	Nocardiopsis sp. TFS65-07
BGC0000021	apoptolidin	Polyketide	Nocardiopsis sp. FU 40
BGC0001195	nocardiopsin A, nocardiopsin B, nocardiopsin C, nocardiopsin D	NRP	Nocardiopsis sp. CMB-M0232
BGC0001195	nocardiopsin A, nocardiopsin B, nocardiopsin C, nocardiopsin D	Polyketide	Nocardiopsis sp. CMB-M0232
BGC0000395	nocardicin A	NRP	Nocardia uniformis subsp. tsuyamanensis
BGC0000632	brasilicardin A	Terpene	Nocardia terpenica
BGC0000632	brasilicardin A	Saccharide	Nocardia terpenica
BGC0001381	brasilinolide A, brasilinolide B, brasilinolide C	Polyketide	Nocardia terpenica
BGC0001027	nocobactin NA	NRP	Nocardia farcinica IFM 10152
BGC0001027	nocobactin NA	Polyketide	Nocardia farcinica IFM 10152
BGC0002024	nargenicin	Polyketide	Nocardia argentinensis
BGC0000609	nocathiacin	Thiopeptide	Nocardia sp. ATCC 202099
BGC0001997	capsidiol	Terpene	Nicotiana tabacum
BGC0001697	neurosporin A	Polyketide	Neurospora crassa OR74A
BGC0002035	ilicicolin H	NRP	Neonectria sp. DH2
BGC0002035	ilicicolin H	Polyketide	Neonectria sp. DH2
BGC0000122	phenylnannolone A, phenylnannolone B, phenylnannolone C	Modular type I polyketide	Nannocystis pusilla
BGC0001750	pyrronazol B	NRP	Nannocystis pusilla
BGC0001750	pyrronazol B	Polyketide	Nannocystis pusilla
BGC0001212	nannocystin a	NRP	Nannocystis sp. MB1016
BGC0001212	nannocystin a	Polyketide	Nannocystis sp. MB1016
BGC0000648	carotenoid	Terpene	Myxococcus xanthus
BGC0000955	althiomycin	NRP	Myxococcus xanthus
BGC0000955	althiomycin	Modular type I polyketide	Myxococcus xanthus
BGC0001426	myxochromide A	Cyclic depsipeptide	Myxococcus xanthus
BGC0001426	myxochromide A	Iterative type I polyketide	Myxococcus xanthus
BGC0001427	myxochromide A	Cyclic depsipeptide	Myxococcus xanthus
BGC0001427	myxochromide A	Iterative type I polyketide	Myxococcus xanthus
BGC0001428	myxochromide A	Cyclic depsipeptide	Myxococcus xanthus
BGC0001428	myxochromide A	Iterative type I polyketide	Myxococcus xanthus
BGC0000393	myxoprincomide-c506	NRP	Myxococcus xanthus DK 1622
BGC0000393	myxoprincomide-c506	Modular type I polyketide	Myxococcus xanthus DK 1622
BGC0000871	VEPE, AEPE, TG-1	Nucleoside	Myxococcus xanthus DK 1622
BGC0001025	myxovirescin A1	NRP	Myxococcus xanthus DK 1622
BGC0001025	myxovirescin A1	Trans-AT type I polyketide	Myxococcus xanthus DK 1622
BGC0001104	myxovirescin A1	NRP	Myxococcus xanthus DK 1622
BGC0001104	myxovirescin A1	Polyketide	Myxococcus xanthus DK 1622
BGC0001425	myxochromide A	Cyclic depsipeptide	Myxococcus xanthus DK 1622
BGC0001425	myxochromide A	Iterative type I polyketide	Myxococcus xanthus DK 1622
BGC0001831	alkylpyrone-407, alkylpyrone-393	Polyketide	Myxococcus xanthus DK 1622
BGC0001424	myxochromide C	Cyclic depsipeptide	Myxococcus virescens
BGC0001424	myxochromide C	Iterative type I polyketide	Myxococcus virescens
BGC0001902	bengamide	NRP	Myxococcus virescens
BGC0001902	bengamide	Polyketide	Myxococcus virescens
BGC0001394	phenalamide A2	NRP	Myxococcus stipitatus DSM 14675
BGC0001394	phenalamide A2	Polyketide	Myxococcus stipitatus DSM 14675
BGC0001423	myxochromide C	Cyclic depsipeptide	Myxococcus hansupus
